"Quarter","Gdp"
"1992-03","5234.80"
"1992-06","11771.50"
"1992-09","18894.10"
"1992-12","27194.53"
"1993-03","6803.10"
"1993-06","15219.30"
"1993-09","24524.60"
"1993-12","35673.23"
"1994-03","9337.80"
"1994-06","20904.70"
"1994-09","33669.20"
"1994-12","48637.45"
"1995-03","12065.90"
"1995-06","26793.80"
"1995-09","42829.10"
"1995-12","61339.89"
"1996-03","14572.60"
"1996-06","31858.80"
"1996-09","50316.70"
"1996-12","71813.63"
"1997-03","16622.60"
"1997-06","35921.00"
"1997-09","56259.60"
"1997-12","79715.04"
"1998-03","17976.70"
"1998-06","38404.60"
"1998-09","60011.40"
"1998-12","85195.51"
"1999-03","19274.50"
"1999-06","40958.20"
"1999-09","63823.40"
"1999-12","90564.38"
"2000-03","21215.50"
"2000-06","45344.30"
"2000-09","70836.20"
"2000-12","100280.14"
"2001-03","23950.30"
"2001-06","50746.10"
"2001-09","78832.30"
"2001-12","110863.12"
"2002-03","26132.90"
"2002-06","55378.50"
"2002-09","86349.90"
"2002-12","121717.42"
"2003-03","29631.10"
"2003-06","62194.10"
"2003-09","97162.50"
"2003-12","137422.03"
"2004-03","34290.60"
"2004-06","73003.70"
"2004-09","114439.50"
"2004-12","161840.16"
"2005-03","40130.90"
"2005-06","84879.10"
"2005-09","132429.30"
"2005-12","187318.90"
"2006-03","46678.30"
"2006-06","99238.70"
"2006-09","154706.50"
"2006-12","219438.47"
"2007-03","56686.60"
"2007-06","121335.50"
"2007-09","190125.00"
"2007-12","270092.32"
"2008-03","68778.40"
"2008-06","147316.00"
"2008-09","228935.40"
"2008-12","319244.61"
"2009-03","73283.60"
"2009-06","156897.80"
"2009-09","245821.30"
"2009-12","348517.74"
"2010-03","86684.30"
"2010-06","185744.20"
"2010-09","290694.80"
"2010-12","412119.26"
"2011-03","103456.90"
"2011-06","221921.90"
"2011-09","347201.20"
"2011-12","487940.18"
"2012-03","116147.90"
"2012-06","246913.70"
"2012-09","383636.60"
"2012-12","538579.95"
"2013-03","128083.50"
"2013-06","271115.30"
"2013-09","421835.10"
"2013-12","592963.23"
"2014-03","138738.00"
"2014-06","293939.00"
"2014-09","457405.90"
"2014-12","643563.10"
"2015-03","147961.80"
"2015-06","314178.20"
"2015-09","487773.50"
"2015-12","688858.22"
"2016-03","158526.40"
"2016-06","340636.80"
"2016-09","529971.20"
"2016-12","746395.06"
"2017-03","180682.70"
"2017-06","381490.00"
"2017-09","593288.10"
"2017-12","832035.95"
"2018-03","198783.10"
"2018-06","418961.10"
"2018-09","650898.80"
"2018-12","919281.13"
"2019-03","218062.80"
"2019-06","460636.70"
"2019-09","712845.40"
"2019-12","990865.10"
"2020-03","206504.30"
"2020-06","456614.40"
"2020-09","722786.40"
"2020-12","1015986.20"
