"task","date","clock","id","name","expid","time","choice","itime","nprizes","pick1","choice1","pick2","choice2","pick3","choice3","task_","prizesL","prizesR","minT","maxT","Nlotteries","P0left","prize0","P1left","prize1","P2left","prize2","P3left","prize3","P0right","P1right","P2right","P3right","pairs","recency","ExpID","session","endowment","Age","sex","race","major","student","highest","father","mother","citizen","gpa","Smoke","loc_c","loc_i","loc_p","ucf0","lucf0","mucf0","ucf123","experienced","Female","Black","Asian","Hispanic","Over22","Business","Freshman","Sophomore","Junior","Senior","Graduate","EdExpect","EdFather","EdMother","Citizen","GPAhi","GPAlow","ExcessTime","timed","ID","evL","evR","ev","evDIFF","Wedding","Random","choice_","Race","Major","Student","Highest","Father","Mother","Citizens","Foreign","Marital","Married","GPA","nhhd","Houseincome","Hincome","Parentincome","Pincome","Fulltime","Asmoked","KnowBet","KnowWorldCup","Political","ra","loss","mixed","Clock","timeMAX","timeMIN","timetaken","experiment","random","evinfo","Choices","gain","Gain","Mixed","Loss","Frame","Endowment","stake","Date","Year","new","Nlott20","Nlott40","core","ll","ll_eut","ll_pt","p_eut","p_pt","RDa_prob0l_","RDpw_prob0l","RDdw_prob0l","RDa_prob1l_","RDpw_prob1l","RDdw_prob1l","RDa_prob2l_","RDpw_prob2l","RDdw_prob2l","RDa_prob3l_","RDpw_prob3l","RDdw_prob3l","RDa_prob0r_","RDpw_prob0r","RDdw_prob0r","RDa_prob1r_","RDpw_prob1r","RDdw_prob1r","RDa_prob2r_","RDpw_prob2r","RDdw_prob2r","RDa_prob3r_","RDpw_prob3r","RDdw_prob3r","CPTa_prob0l_l","CPTpw_prob0l_l","CPTdw_prob0l_l","CPTa_prob1l_l","CPTpw_prob1l_l","CPTdw_prob1l_l","CPTa_prob2l_l","CPTpw_prob2l_l","CPTdw_prob2l_l","CPTa_prob3l_l","CPTpw_prob3l_l","CPTdw_prob3l_l","CPTa_prob0r_l","CPTpw_prob0r_l","CPTdw_prob0r_l","CPTa_prob1r_l","CPTpw_prob1r_l","CPTdw_prob1r_l","CPTa_prob2r_l","CPTpw_prob2r_l","CPTdw_prob2r_l","CPTa_prob3r_l","CPTpw_prob3r_l","CPTdw_prob3r_l","CPTa_prob0l_g","CPTpw_prob0l_g","CPTdw_prob0l_g","CPTa_prob1l_g","CPTpw_prob1l_g","CPTdw_prob1l_g","CPTa_prob2l_g","CPTpw_prob2l_g","CPTdw_prob2l_g","CPTa_prob3l_g","CPTpw_prob3l_g","CPTdw_prob3l_g","CPTa_prob0r_g","CPTpw_prob0r_g","CPTdw_prob0r_g","CPTa_prob1r_g","CPTpw_prob1r_g","CPTdw_prob1r_g","CPTa_prob2r_g","CPTpw_prob2r_g","CPTdw_prob2r_g","CPTa_prob3r_g","CPTpw_prob3r_g","CPTdw_prob3r_g","dw_check_r","dw_check_l"
1,"2/26/2004","13:07:07.2240942",4003,"Anonymous","lucf0",10.3999996185303,"R",0,3,20,"R",27,"R",60,"R",1,4,4,0,0,60,0.379999995231628,-15,0.620000004768372,-10,0,-5,0,0,0.75,0,0,0.25,79,-32,"lucf","Lucf0",9,19,2,1,4,2,2,4,3,1,1,0,-6,14,-2,1031,NA,NA,NA,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,10,"Minimum Time Constraints Imposed",37,-11.8999996185303,-11.25,-11.25,0.649999618530273,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,787.12040157,790.429504394531,787.120422363281,3.30908203125,"lucf",0,0,1,0,0,0,1,"Loss Frame",24,15,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,"2/26/2004","15:15:53.7454105",3010,"Anonymous","ucf0",6,"L",0,3,16,"R",34,"R",44,"L",43,4,4,0,0,60,0.25,0,0,5,0.75,10,0,15,0.379999995231628,0,0,0.620000004768372,61,-4,"ucf0","Ucf0",5,18,2,1,4,1,2,3,3,1,3,1,-13,16,-8,NA,NA,NA,NA,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,10,"Unconstrained",131,7.5,9.30000019073486,9.30000019073486,1.80000019073486,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,915.895756841667,918.235595703125,907.233337402344,11.0022583007812,"ucf0",0,0,0,1,1,0,0,"Gain Frame",5,0,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"11/6/2003","12:19:16.6882647",4,"Anonymous","ucf0",8.5,"L",0,3,19,"L",37,"L",41,"L",16,4,4,0,0,60,0.379999995231628,0,0,5,0.620000004768372,10,0,15,0.25,0.75,0,0,66,-40,"ucf0","Ucf0",3,20,2,1,3,3,2,5,3,1,1,0,-8,9,4,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,10,"Unconstrained",98,6.19999980926514,3.75,6.19999980926514,2.44999980926514,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,739.278137745,748.28759765625,734.353820800781,13.9337768554688,"ucf0",0,0,0,1,1,0,0,"Gain Frame",3,0,15867,2003,0,0,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"3/18/2004","14:32:07.6383686",9016,"Anonymous","lucf0",4.09999990463257,"L",0,3,7,"L",35,"R",59,"R",12,4,4,0,0,60,0,-15,0.370000004768372,-10,0.259999990463257,-5,0.370000004768372,0,0,0.25,0.5,0.25,19,-36,"lucf","Lucf0",9,20,1,6,4,3,1,3,3,1,3,0,-1,12,-1,3020,NA,NA,NA,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,"Minimum Time Constraints Imposed",58,-5,-5,-5,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,872.127306143333,879.877807617188,870.272644042969,9.60516357421875,"lucf",0,0,0,0,0,0,1,"Loss Frame",24,15,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,"3/3/2004","13:07:28.4441138",7004,"Anonymous","ucf0",1.29999995231628,"R",0,3,20,"R",32,"L",49,"L",55,4,4,0,0,60,0,0,0.25,5,0.620000004768372,10,0.129999995231628,15,0,0.370000004768372,0.259999990463257,0.370000004768372,20,29,"ucf0","Ucf0",1,47,2,1,4,4,3,4,3,1,1,0,-13,16,-9,NA,2002,NA,NA,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,"Unconstrained",137,9.39999961853027,10,10,0.600000381469727,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,787.474068563333,787.649353027344,785.244934082031,2.4044189453125,"ucf0",0,0,1,1,1,0,0,"Gain Frame",1,0,16133,2004,0,0,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"11/6/2003","14:00:29.1699273",13,"Anonymous","ucf0",8.5,"L",0,3,6,"R",36,"R",51,"R",9,4,4,0,0,60,0,0,0.75,5,0,10,0.25,15,0,0.620000004768372,0.379999995231628,0,31,-4,"ucf0","Ucf0",9,20,1,1,3,3,1,5,4,1,3,1,-9,14,-2,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,10,"Unconstrained",104,7.5,6.90000009536743,7.5,0.599999904632568,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,840.486165455,847.992370605469,838.164306640625,9.82806396484375,"ucf0",0,0,0,1,1,0,0,"Gain Frame",9,0,15867,2003,0,0,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,"2/19/2004","11:25:12.1392996",2022,"Anonymous","lucf0",5.69999980926514,"R",0,3,19,"R",34,"L",45,"L",39,4,4,0,0,60,0.129999995231628,-15,0.620000004768372,-10,0.25,-5,0,0,0,0.870000004768372,0.129999995231628,0,48,2,"lucf","Lucf0",1,19,2,1,4,2,1,5,4,1,1,0,4,11,-1,NA,NA,NA,NA,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,10,"Minimum Time Constraints Imposed",21,-9.39999961853027,-9.35000038146973,-9.35000038146973,0.0499992370605469,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,685.20232166,688.34375,676.549987792969,11.7937622070312,"lucf",0,0,1,0,0,0,1,"Loss Frame",16,15,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,"3/18/2004","13:51:47.3614620",9015,"Anonymous","lucf0",10.3000001907349,"L",0,3,18,"R",40,"L",53,"R",33,4,4,0,0,60,0.75,-15,0,-10,0,-5,0.25,0,0.379999995231628,0.620000004768372,0,0,79,32,"lucf","Lucf0",9,18,2,1,14,1,2,3,3,1,3,1,7,8,-2,3011,NA,NA,NA,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,10,"Minimum Time Constraints Imposed",57,-11.25,-11.8999996185303,-11.25,0.649999618530273,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,831.7893577,835.466979980469,827.423400878906,8.0435791015625,"lucf",0,0,0,0,0,0,1,"Loss Frame",24,15,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"2/19/2004","12:03:41.7237845",2046,"Anonymous","lucf0",6.09999990463257,"L",0,3,19,"L",28,"L",55,"R",7,4,4,0,0,60,0,-15,0.5,-10,0.5,-5,0,0,0.129999995231628,0.25,0.620000004768372,0,28,-50,"lucf","Lucf0",10,18,1,5,10,1,2,3,5,1,2,0,-5,8,-8,NA,NA,NA,NA,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,10,"Minimum Time Constraints Imposed",28,-7.5,-7.55000019073486,-7.5,0.0500001907348633,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,723.695396408333,731.969482421875,722.569641113281,9.39984130859375,"lucf",0,0,0,0,0,0,1,"Loss Frame",25,15,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,"11/7/2003","13:26:42.7384847",1061,"Anonymous","ucf1f",66.5,"R",0,3,17,"R",30,"L",48,"L",53,4,4,60,0,60,0,0,0.490000009536743,5,0.129999995231628,10,0.379999995231628,15,0,0.370000004768372,0.370000004768372,0.259999990463257,23,-1,"ucf1","Ucf1",6,18,1,1,4,1,1,5,5,1,1,0,-14,11,-1,NA,NA,NA,NA,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,10,"Minimum Time Constraints Imposed",178,9.44999980926514,9.44999980926514,9.44999980926514,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,806.712308078333,810.029724121094,770.289794921875,39.7399291992188,"ucf1",0,1,1,1,1,0,0,"Gain Frame",6,0,15897,2003,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
